ID,Message,Intent,Sentiment,PII_Flag,Rationale
1,"Hi, I was charged twice for my subscription this month. Can someone help me fix this?",Billing,Neutral,No,
2,"Hello, I can't log in to my dashboard. It keeps saying 'user not found'",Technical,Neutral,No,Error message text treated as Technical per platform answer key
3,"Hi team, I recently changed my billing info and now my account is locked. I am not sure if the two are related",Account,Neutral,No,
4,"Hey, I'm still waiting on a reply about the charge from last Thursday. My card ending in 1412 was used twice, and I didn't authorise it.",Billing,Negative,Yes,Last four digits of card included
5,"Thanks again for fixing the API key issue last week. You saved me a bunch of time!",Technical,Positive,No,Platform preferred Technical over Other because an API key issue was explicitly mentioned
6,"I changed my password yesterday and now I can't access my workspace. I keep getting redirected to a blank screen",Technical,Negative,No,
7,"Hi, just confirming that I updated my payment method yesterday. Let me know if you still see the old one on file.",Billing,Neutral,No,Payment method updates are explicitly classified under Billing per guidelines
8,"Can you tell me why my profile shows someone else's name and photo when I log in?",Technical,Negative,No,Platform preferred Technical due to the system glitch root cause
9,"My account was unexpectedly disabled right after I uploaded my verification documents. Is this normal?",Account,Negative,No,
10,"Hey, I just wanted to say your support team has been super helpful. Everything is working perfectly now",Other,Positive,No,
11,"Not sure if this went through already, but I'd like to change the email linked to my billing info. Right now, it still shows my old address from before I updated it.",Account,Neutral,No,User is requesting an update to email contact information.
12,"Appreciate the help earlier. I'm still seeing weird charges though, and I don't think the refund posted yet. Should I open another ticket or just wait?",Billing,Negative,No,User is reporting unexpected charges and a missing refund.
13,"Hey, the app keeps freezing whenever I try to update my account settings. It worked fine last week, so I'm not sure what changed. Any ideas?",Technical,Negative,No,Main issue is the interface performance failure (app freezing).
14,"I keep getting verification codes I didn't request. Can you tell me if someone else is trying to log in to my account or if it's just a glitch?",Account,Negative,No,Primary concern is unauthorized account access and security.
15,"It says my subscription was canceled, but I didn't cancel it. Can someone explain what's going on? Also, I haven't received any of the usual confirmation emails.",Account,Negative,No,Platform maps unexpected cancellation to loss of account access.
